System	Caught	Target
uspstf	169.63470613039019	USPSTF
mced_all	425.9195811511475	MCED-All
sced_ten	411.5799931255889	CED
sced_ten	20.619000000000007	Bladder
sced_ten	60.472555483797024	Breast
sced_ten	40.29516013607617	Colon/Rectum
sced_ten	10.805400000000002	Esophagus
sced_ten	22.924500000000005	Liver/Bile-duct
sced_ten	134.37627750571562	Lung
sced_ten	43.50870000000001	Lymphoma
sced_ten	16.434300000000004	Ovary
sced_ten	27.848700000000008	Pancreas
sced_ten	34.295400000000015	Uterus
mced_ten	298.4611758769252	CED
mced_ten	8.763025210084034	Bladder
mced_ten	21.238369302998144	Breast
mced_ten	35.65316339601179	Colon/Rectum
mced_ten	9.488540479220848	Esophagus
mced_ten	23.573527672658475	Liver/Bile-duct
mced_ten	118.49443543862321	Lung
mced_ten	26.856153109421925	Lymphoma
mced_ten	15.265443158877375	Ovary
mced_ten	26.528588843571193	Pancreas
mced_ten	12.599929265458186	Uterus
