Cancer	Selected	TP	FP	PPV	PPV_percent
Bladder	1	20.619000000000007	10978.733182325655	0.0018745649433001802	0.18745649433001801
Breast	1	60.472555483797024	5483.024135871773	0.010908738446276491	1.0908738446276491
Colon/Rectum	1	40.29516013607617	10976.245391963623	0.003657696347189146	0.3657696347189146
Esophagus	1	10.805400000000002	10979.973982325655	9.831331904793066e-4	0.09831331904793066
Liver/Bile-duct	1	22.924500000000005	10978.441682325654	0.00208378665159147	0.208378665159147
Lung	1	134.37627750571562	10964.350078273208	0.012107360177931419	1.2107360177931419
Lymphoma	1	43.50870000000001	10975.839082325656	0.003948391579925015	0.3948391579925015
Ovary	1	16.434300000000004	5488.5921911628275	0.00298532623346715	0.298532623346715
Pancreas	1	27.848700000000008	10977.819082325655	0.0025303962059188357	0.25303962059188356
Uterus	1	34.295400000000015	5486.333891162828	0.006212226576216326	0.6212226576216326
